filename,width,height,class,xmin,ymin,xmax,ymax
236_464751_1.png,50,50,pos,2,12,11,22
236_464751_1.png,50,50,pos,8,12,24,31
360_695657_1.png,50,50,pos,33,20,40,28
360_695657_1.png,50,50,pos,0,28,10,38
176_834972_1.png,50,50,pos,10,2,23,15
16_654_1.png,50,50,pos,0,15,9,25
12_632874_1915_1989_1.png,50,50,pos,0,13,6,26
LC80480212014057LGN00_592_1.png,50,50,pos,17,11,41,31
54_838596_1691_1542_1.png,50,50,pos,25,0,39,13
18_627162_169_1378_1.png,50,50,pos,17,27,27,38
55_663_1.png,50,50,pos,33,21,44,29
873_605921_1.png,50,50,pos,42,34,50,42
873_605921_1.png,50,50,pos,2,0,22,9
164_530_1.png,50,50,pos,21,12,41,31
228_195917_1.png,50,50,pos,11,26,31,43
110_4162_1.png,50,50,pos,21,14,31,24
110_4162_1.png,50,50,pos,21,14,30,25
1881_186190_1.png,50,50,pos,17,24,26,35
19_333162_1.png,50,50,pos,22,29,35,40
LC80490212014240LGN00_464_1.png,50,50,pos,19,20,30,31
14_550494_1366_1155_1.png,50,50,pos,14,8,24,15
13_504656_1133_1153_1.png,50,50,pos,21,36,27,44
18_897648_1207_1369_1.png,50,50,pos,30,10,41,19
1518_68820_1.png,50,50,pos,27,0,35,4
161_961995_1233_1753_1.png,50,50,pos,5,3,25,25
161_961995_1233_1753_1.png,50,50,pos,37,33,47,42
LC80480202014057LGN00_301_1.png,50,50,pos,21,20,32,31
LC80490212014240LGN00_363_1.png,50,50,pos,19,18,35,34
545_649258_1.png,50,50,pos,15,12,25,21
545_649258_1.png,50,50,pos,37,29,48,39
68_543145_1.png,50,50,pos,9,21,22,35
2015_104191_1.png,50,50,pos,18,43,28,50
53_18_1.png,50,50,pos,0,20,9,32
LC80490212014240LGN00_342_1.png,50,50,pos,20,18,36,34
LC80490212014240LGN00_419_1.png,50,50,pos,20,17,38,34
LC80480192014057LGN00_23_1.png,50,50,pos,23,20,31,29
LC80480212014057LGN00_407_1.png,50,50,pos,21,20,32,32
53_89853_1763_1678_1.png,50,50,pos,16,6,22,13
LC80480202014057LGN00_220_1.png,50,50,pos,20,20,32,32
LC80480202014057LGN00_220_1.png,50,50,pos,37,26,48,38
1786_879964_1.png,50,50,pos,23,30,35,42
134_3260_1.png,50,50,pos,35,31,46,42
134_3260_1.png,50,50,pos,15,18,21,25
134_3260_1.png,50,50,pos,15,19,21,26
